date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:03:58	35261/35261	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:03:53%20GMT	http://product.hstatic.net/200000796751/product/sund_warbrobe_baya_2000471_1_1cdd240a165e490cb9d63281bff52e77_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/sund_warbrobe_baya_2000471_1_1cdd240a165e490cb9d63281bff52e77_master.jpg	(from https://baya.vn/products/tu-quan-ao-sund)
01:03:59	44211/44211	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:03:53%20GMT	http://product.hstatic.net/200000796751/product/2000471_d28df6e9c1f64f2681be8ab810e0502e_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/2000471_d28df6e9c1f64f2681be8ab810e0502e_master.jpg	(from https://baya.vn/products/tu-quan-ao-sund)
01:04:02	27865/27865	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:03:59%20GMT	http://product.hstatic.net/200000796751/product/sund_warbrobe_baya_2000471_2_4fdc88a2c79b4f24a2a662352c34cffb_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/sund_warbrobe_baya_2000471_2_4fdc88a2c79b4f24a2a662352c34cffb_master.jpg	(from https://baya.vn/products/tu-quan-ao-sund)
01:04:03	35291/35291	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:03:59%20GMT	http://product.hstatic.net/200000796751/product/sund_warbrobe_baya_2000471_3_0f7a5908174c444a87a83a0093afa876_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/sund_warbrobe_baya_2000471_3_0f7a5908174c444a87a83a0093afa876_master.jpg	(from https://baya.vn/products/tu-quan-ao-sund)
01:04:03	317887/317887	---M--	200	added ('OK')	image/jpeg	etag:%2223a4fdd906f15ae808f72fb682c23598%22	https://product.hstatic.net/200000796751/product/2000472_c246656e446743e284eac4a94050d824.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/2000472_c246656e446743e284eac4a94050d824.jpg	(from https://baya.vn/products/tu-quan-ao-sund)
01:04:04	5223/5223	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:04%20GMT	http://product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_9794a963942944ddbf706881245cb3ba_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_9794a963942944ddbf706881245cb3ba_compact.jpg	(from https://baya.vn/products/ke-sach-student)
01:04:05	6701/6701	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:05%20GMT	http://product.hstatic.net/200000796751/product/student_desk_baya_2001081_inspiration__2__fab4c26715844a9cae36b709e128654a_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/student_desk_baya_2001081_inspiration__2__fab4c26715844a9cae36b709e128654a_compact.jpg	(from https://baya.vn/products/ke-sach-student)
01:04:06	3613/3613	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:06%20GMT	http://product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_1_0232ea5b83534c588f7d3995a07b7409_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_1_0232ea5b83534c588f7d3995a07b7409_compact.jpg	(from https://baya.vn/products/ke-sach-student)
01:04:06	3838/3838	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:07%20GMT	http://product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_2_9f766827e4ba44db80ccd8a50daae603_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_2_9f766827e4ba44db80ccd8a50daae603_compact.jpg	(from https://baya.vn/products/ke-sach-student)
01:04:08	3378/3378	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:08%20GMT	http://product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_3_5c68f3ba5607464888b5d9f4cf95df37_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_3_5c68f3ba5607464888b5d9f4cf95df37_compact.jpg	(from https://baya.vn/products/ke-sach-student)
01:04:09	4639/4639	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:09%20GMT	http://product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_4_cab464a182d34d8790f12641344f5955_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_4_cab464a182d34d8790f12641344f5955_compact.jpg	(from https://baya.vn/products/ke-sach-student)
01:04:17	51827/51827	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:09%20GMT	http://product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_9794a963942944ddbf706881245cb3ba_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_9794a963942944ddbf706881245cb3ba_master.jpg	(from https://baya.vn/products/ke-sach-student)
01:04:18	54295/54295	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:10%20GMT	http://product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_1_0232ea5b83534c588f7d3995a07b7409_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_1_0232ea5b83534c588f7d3995a07b7409_master.jpg	(from https://baya.vn/products/ke-sach-student)
01:04:24	99008/99008	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:10%20GMT	http://product.hstatic.net/200000796751/product/student_desk_baya_2001081_inspiration__2__fab4c26715844a9cae36b709e128654a_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/student_desk_baya_2001081_inspiration__2__fab4c26715844a9cae36b709e128654a_master.jpg	(from https://baya.vn/products/ke-sach-student)
01:04:26	55117/55117	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:18%20GMT	http://product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_2_9f766827e4ba44db80ccd8a50daae603_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_2_9f766827e4ba44db80ccd8a50daae603_master.jpg	(from https://baya.vn/products/ke-sach-student)
01:04:27	53893/53893	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:19%20GMT	http://product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_3_5c68f3ba5607464888b5d9f4cf95df37_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_3_5c68f3ba5607464888b5d9f4cf95df37_master.jpg	(from https://baya.vn/products/ke-sach-student)
01:04:30	5248/5248	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:29%20GMT	http://product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_b748e3926fc444c29df8226940cc471d_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_b748e3926fc444c29df8226940cc471d_compact.jpg	(from https://baya.vn/products/tu-giay-penang-2002252)
01:04:31	252943/252943	---M--	200	added ('OK')	image/jpeg	etag:%220d5de69cfba1350110e9c573f5323427%22	https://product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_9794a963942944ddbf706881245cb3ba.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_9794a963942944ddbf706881245cb3ba.jpg	(from https://baya.vn/products/ke-sach-student)
01:04:31	5295/5295	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:31%20GMT	http://product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_4_a59c07dd6aa746139ad57b25a5deb19a_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_4_a59c07dd6aa746139ad57b25a5deb19a_compact.jpg	(from https://baya.vn/products/tu-giay-penang-2002252)
01:04:32	59466/59466	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:25%20GMT	http://product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_4_cab464a182d34d8790f12641344f5955_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/student_bookshelf_baya_2001076_4_cab464a182d34d8790f12641344f5955_master.jpg	(from https://baya.vn/products/ke-sach-student)
01:04:32	5962/5962	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:32%20GMT	http://product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_1_113d07bf56f84875a2d2a6da3cd1b09c_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_1_113d07bf56f84875a2d2a6da3cd1b09c_compact.jpg	(from https://baya.vn/products/tu-giay-penang-2002252)
01:04:33	4979/4979	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:33%20GMT	http://product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_2_c7c9e8dce3eb46b7b8667624f60e4b6b_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_2_c7c9e8dce3eb46b7b8667624f60e4b6b_compact.jpg	(from https://baya.vn/products/tu-giay-penang-2002252)
01:04:34	3155/3155	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:34%20GMT	http://product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_3_eb10690a367c431798a27cc0ba3e0337_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_3_eb10690a367c431798a27cc0ba3e0337_compact.jpg	(from https://baya.vn/products/tu-giay-penang-2002252)
01:04:35	4799/4799	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:35%20GMT	http://product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_5_3b5c0dadb9754d3786c6b6f14c391406_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_5_3b5c0dadb9754d3786c6b6f14c391406_compact.jpg	(from https://baya.vn/products/tu-giay-penang-2002252)
01:04:36	4629/4629	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:36%20GMT	http://product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_6_8299b62f270042c6b91f283fc8ba561a_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_6_8299b62f270042c6b91f283fc8ba561a_compact.jpg	(from https://baya.vn/products/tu-giay-penang-2002252)
01:04:44	53871/53871	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:36%20GMT	http://product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_b748e3926fc444c29df8226940cc471d_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_b748e3926fc444c29df8226940cc471d_master.jpg	(from https://baya.vn/products/tu-giay-penang-2002252)
01:04:46	53069/53069	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:37%20GMT	http://product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_1_113d07bf56f84875a2d2a6da3cd1b09c_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_1_113d07bf56f84875a2d2a6da3cd1b09c_master.jpg	(from https://baya.vn/products/tu-giay-penang-2002252)
01:04:46	57448/57448	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:37%20GMT	http://product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_4_a59c07dd6aa746139ad57b25a5deb19a_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_4_a59c07dd6aa746139ad57b25a5deb19a_master.jpg	(from https://baya.vn/products/tu-giay-penang-2002252)
01:04:52	50659/50659	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:44%20GMT	http://product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_2_c7c9e8dce3eb46b7b8667624f60e4b6b_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_2_c7c9e8dce3eb46b7b8667624f60e4b6b_master.jpg	(from https://baya.vn/products/tu-giay-penang-2002252)
01:04:54	53144/53144	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:46%20GMT	http://product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_3_eb10690a367c431798a27cc0ba3e0337_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_3_eb10690a367c431798a27cc0ba3e0337_master.jpg	(from https://baya.vn/products/tu-giay-penang-2002252)
01:04:55	57701/57701	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:47%20GMT	http://product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_5_3b5c0dadb9754d3786c6b6f14c391406_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_5_3b5c0dadb9754d3786c6b6f14c391406_master.jpg	(from https://baya.vn/products/tu-giay-penang-2002252)
01:04:58	3769/3769	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:58%20GMT	http://product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_7b382c9ed0074689948b500655be881a_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_7b382c9ed0074689948b500655be881a_compact.jpg	(from https://baya.vn/products/ke-tv-penang-2002250)
01:05:00	5891/5891	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:05:00%20GMT	http://product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_4_2792afecd855443298b3cc12e84df4fc_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_4_2792afecd855443298b3cc12e84df4fc_compact.jpg	(from https://baya.vn/products/ke-tv-penang-2002250)
01:05:00	66316/66316	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:04:53%20GMT	http://product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_6_8299b62f270042c6b91f283fc8ba561a_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_6_8299b62f270042c6b91f283fc8ba561a_master.jpg	(from https://baya.vn/products/tu-giay-penang-2002252)
01:05:01	277262/277262	---M--	200	added ('OK')	image/jpeg	etag:%227dec64dee929a595d1f818277afcbf33%22	https://product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_b748e3926fc444c29df8226940cc471d.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_shoe_cabinet_baya_2002252_b748e3926fc444c29df8226940cc471d.jpg	(from https://baya.vn/products/tu-giay-penang-2002252)
01:05:02	3943/3943	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:05:02%20GMT	http://product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_1_38fced45e4184627bd3bb27693a6ed09_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_1_38fced45e4184627bd3bb27693a6ed09_compact.jpg	(from https://baya.vn/products/ke-tv-penang-2002250)
01:05:03	3718/3718	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:05:03%20GMT	http://product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_2_3558557782614b9b81b424750aff3ce4_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_2_3558557782614b9b81b424750aff3ce4_compact.jpg	(from https://baya.vn/products/ke-tv-penang-2002250)
01:05:05	4101/4101	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:05:05%20GMT	http://product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_3_af72611b245e44d19775fd388dd4f7ba_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_3_af72611b245e44d19775fd388dd4f7ba_compact.jpg	(from https://baya.vn/products/ke-tv-penang-2002250)
01:05:05	4320/4320	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:05:05%20GMT	http://product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_5_a47f395cfbfa4ecb9a3fb0dec7b694e7_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_5_a47f395cfbfa4ecb9a3fb0dec7b694e7_compact.jpg	(from https://baya.vn/products/ke-tv-penang-2002250)
01:05:07	5915/5915	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:05:07%20GMT	http://product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_6_c25720caf2a746afb9695582f100d753_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_6_c25720caf2a746afb9695582f100d753_compact.jpg	(from https://baya.vn/products/ke-tv-penang-2002250)
01:05:15	51704/51704	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:05:07%20GMT	http://product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_7b382c9ed0074689948b500655be881a_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_7b382c9ed0074689948b500655be881a_master.jpg	(from https://baya.vn/products/ke-tv-penang-2002250)
01:05:15	51182/51182	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:05:07%20GMT	http://product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_4_2792afecd855443298b3cc12e84df4fc_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_4_2792afecd855443298b3cc12e84df4fc_master.jpg	(from https://baya.vn/products/ke-tv-penang-2002250)
01:05:16	53194/53194	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:05:08%20GMT	http://product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_1_38fced45e4184627bd3bb27693a6ed09_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_1_38fced45e4184627bd3bb27693a6ed09_master.jpg	(from https://baya.vn/products/ke-tv-penang-2002250)
01:05:22	48575/48575	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:05:15%20GMT	http://product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_2_3558557782614b9b81b424750aff3ce4_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_2_3558557782614b9b81b424750aff3ce4_master.jpg	(from https://baya.vn/products/ke-tv-penang-2002250)
01:05:25	56445/56445	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:05:16%20GMT	http://product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_3_af72611b245e44d19775fd388dd4f7ba_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_3_af72611b245e44d19775fd388dd4f7ba_master.jpg	(from https://baya.vn/products/ke-tv-penang-2002250)
01:05:25	54976/54976	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:05:16%20GMT	http://product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_5_a47f395cfbfa4ecb9a3fb0dec7b694e7_master.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/penang_tv_bench_baya_2002250_5_a47f395cfbfa4ecb9a3fb0dec7b694e7_master.jpg	(from https://baya.vn/products/ke-tv-penang-2002250)
01:05:28	3698/3698	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Mar%202024%2018:05:28%20GMT	http://product.hstatic.net/200000796751/product/lucas_wardrobe_baya_2002287_inspire_9c0e04caee284f34b27319823919f5b5_compact.jpg	C:/My%20Web%20Sites/baya/product.hstatic.net/200000796751/product/lucas_wardrobe_baya_2002287_inspire_9c0e04caee284f34b27319823919f5b5_compact.jpg	(from https://baya.vn/products/tu-quan-ao-lucas)
